"SIG_CD","region_name","solar_altitude_meridian_deg","solar_altitude_09_deg","solar_altitude_12_deg","solar_altitude_15_deg","observations"
"48127","창원시 마산회원구","74.001522","40.902645","71.70337","53.012065","460"
"48129","창원시 진해구","74.058986","40.907174","71.721957","53.014094","460"
"48170","진주시","74.030507","40.81058","71.672065","53.104312","460"
"48220","통영시","74.226051","40.868225","71.753696","53.07058","460"
"48240","사천시","74.136341","40.805833","71.700145","53.120652","460"
"48250","김해시","74.001522","40.902645","71.70337","53.012065","460"
"48270","밀양시","73.836667","40.908732","71.657754","52.987283","460"
"48310","거제시","74.210507","40.898225","71.762138","53.039565","460"
"48330","양산시","73.937717","40.958297","71.707391","52.951014","460"
"48720","의령군","73.665181","40.651159","71.338913","53.149891","460"
"48730","함안군","73.975072","40.857319","71.676667","53.052971","460"
"48740","창녕군","73.531413","40.684783","71.314493","53.101594","460"
"48820","고성군","74.155036","40.848261","71.724384","53.081993","460"
"48840","남해군","74.239819","40.055036","71.393043","53.855833","460"
"48850","하동군","74.102319","40.029058","71.341957","53.86587","460"
"48860","산청군","73.60942","40.586957","71.294058","53.205109","460"
"48870","함양군","73.354493","40.157935","70.925942","53.537428","460"
"48880","거창군","73.446377","40.588297","71.248478","53.184312","460"
"48890","합천군","73.518768","40.631594","71.28808","53.15163","460"
"50110","제주시","75.04279","39.844529","71.506558","54.141159","460"
"50130","서귀포시","75.189855","39.850797","71.549674","54.148913","460"
