SIG_CD,Sido,SIG_KOR_NM,한국이름,center_lon,center_lat,solar_09_kst,solar_12_kst,solar_15_kst,solar_day_mean_09_12_15,n_cells,radius_m,method,status,nearest_row,nearest_col,nearest_dist_m,window_cells
41550,경기도,경기도 안성시,안성시,127.302722014,37.035027053,245.42459106445312,588.6185302734375,509.3365783691406,447.79323323567706,310,1000.0,centroid_radius_mean,ok,4899,2680,15.155943999850713,120
41570,경기도,경기도 김포시,김포시,126.62646782,37.681809628,232.96800231933594,581.1067504882812,517.3214111328125,443.79872131347656,312,1000.0,centroid_radius_mean,ok,5618,2083,33.16652671836926,120
41590,경기도,경기도 화성시,화성시,126.97253050575,37.1846311455,243.90110778808594,592.0956420898438,522.8159790039062,452.9375762939453,316,1000.0,centroid_radius_mean,ok,5065,2387,40.40940469899227,120
41591,경기도,경기도 화성시 만세구,화성시 만세구,126.824798609,37.125053912,240.582275390625,594.9850463867188,529.7029418945312,455.090087890625,318,1000.0,centroid_radius_mean,ok,4999,2256,54.650619346517864,120
41593,경기도,경기도 화성시 효행구,화성시 효행구,126.930336882,37.210954631,239.70452880859375,588.7260131835938,516.9833984375,448.4713134765625,313,1000.0,centroid_radius_mean,ok,5094,2350,8.387356962051609,120
41595,경기도,경기도 화성시 병점구,화성시 병점구,127.026623001,37.213847001,242.38568115234375,586.467041015625,515.3560791015625,448.06960042317706,311,1000.0,centroid_radius_mean,ok,5097,2435,22.020641996869365,120
41597,경기도,경기도 화성시 동탄구,화성시 동탄구,127.108363531,37.188669038,243.3343048095703,585.4955444335938,511.333984375,446.7212778727214,315,1000.0,centroid_radius_mean,ok,5069,2507,58.2500747547317,120
41610,경기도,경기도 광주시,광주시,127.301175674,37.403090741,237.43968200683594,582.4949951171875,498.4541320800781,439.4629364013672,312,1000.0,centroid_radius_mean,ok,5308,2677,33.15911768575972,120
41630,경기도,경기도 양주시,양주시,127.001134626,37.808657557,237.84266662597656,579.9595336914062,500.2163391113281,439.3395131429036,312,1000.0,centroid_radius_mean,ok,5758,2412,34.72605337576091,120
41650,경기도,경기도 포천시,포천시,127.250337003,37.96977801,237.78567504882812,576.200927734375,492.3721008300781,435.45290120442706,314,1000.0,centroid_radius_mean,ok,5937,2631,61.551221268098026,120
41670,경기도,경기도 여주시,여주시,127.615737345,37.302458419,239.5563507080078,584.0241088867188,497.5220031738281,440.36748758951825,316,1000.0,centroid_radius_mean,ok,5198,2956,48.99070749742372,120
41800,경기도,경기도 연천군,연천군,127.093229193,38.112797086,212.12783813476562,568.4137573242188,490.7445373535156,423.7620442708333,311,1000.0,centroid_radius_mean,ok,6096,2493,27.19029542773566,120
41820,경기도,경기도 가평군,가평군,127.450191853,37.818433171,240.34788513183594,581.7776489257812,495.8210144042969,439.3155161539714,312,1000.0,centroid_radius_mean,ok,5770,2806,50.628542382814786,120
41830,경기도,경기도 양평군,양평군,127.579264183,37.518055848,249.50450134277344,574.4881591796875,493.81842041015625,439.2703603108724,312,1000.0,centroid_radius_mean,ok,5437,2922,9.21635745864393,120
48120,경상남도,경상남도 창원시,창원시,128.6199729504,35.2084964922,266.39410400390625,608.8927001953125,492.3725280761719,455.8864440917969,311,1000.0,centroid_radius_mean,ok,2882,3884,19.700541369727695,120
48121,경상남도,경상남도 창원시 의창구,창원시 의창구,128.64904221,35.311614198,277.225830078125,613.27783203125,493.79498291015625,461.43288167317706,316,1000.0,centroid_radius_mean,ok,2997,3908,51.11928259705692,120
48123,경상남도,경상남도 창원시 성산구,창원시 성산구,128.670562158,35.212994954,281.4924621582031,615.8929443359375,498.8166809082031,465.40069580078125,311,1000.0,centroid_radius_mean,ok,2888,3930,2.7426357440048723,120
48125,경상남도,경상남도 창원시 마산합포구,창원시 마산합포구,128.492764324,35.143922788,262.8790283203125,598.801513671875,489.5790710449219,450.4198710123698,315,1000.0,centroid_radius_mean,ok,2808,3770,54.971848120876125,120
48127,경상남도,경상남도 창원시 마산회원구,창원시 마산회원구,128.55049587,35.243212164,262.8105773925781,616.1386108398438,500.8436584472656,459.9309488932292,317,1000.0,centroid_radius_mean,ok,2920,3820,51.379291661080515,120
48129,경상남도,경상남도 창원시 진해구,창원시 진해구,128.73700019,35.130738357,268.91937255859375,594.03173828125,487.4525146484375,450.13454182942706,311,1000.0,centroid_radius_mean,ok,2798,3992,29.68638032649686,120
48170,경상남도,경상남도 진주시,진주시,128.129800853,35.205157645,269.6608581542969,621.300537109375,507.2456970214844,466.06903076171875,313,1000.0,centroid_radius_mean,ok,2872,3439,24.979041646464925,120
48220,경상남도,경상남도 통영시,통영시,128.395246255,34.900561049,271.3676452636719,611.420654296875,510.49365234375,464.4273173014323,315,1000.0,centroid_radius_mean,ok,2537,3685,33.71940354411174,120
48240,경상남도,경상남도 사천시,사천시,128.107620365,35.013754159,253.8741455078125,616.33984375,508.8848571777344,459.6996154785156,312,1000.0,centroid_radius_mean,ok,2659,3421,29.978955458738806,120
48250,경상남도,경상남도 김해시,김해시,128.771762292,35.255132014,281.76708984375,612.495849609375,493.2431335449219,462.5020243326823,314,1000.0,centroid_radius_mean,ok,2937,4021,49.94239114381794,120
48270,경상남도,경상남도 밀양시,밀양시,128.796506645,35.468965586,266.30712890625,604.3623657226562,483.38861083984375,451.3527018229167,317,1000.0,centroid_radius_mean,ok,3174,4039,50.18955637577126,120
48310,경상남도,경상남도 거제시,거제시,128.625073252,34.866735846,272.4244079589844,613.5931396484375,515.3497924804688,467.12244669596356,314,1000.0,centroid_radius_mean,ok,2503,3895,63.608433972937355,120
48330,경상남도,경상남도 양산시,양산시,129.041041164,35.401888209,296.7673034667969,601.5853271484375,491.7841796875,463.3789367675781,315,1000.0,centroid_radius_mean,ok,3105,4262,45.021983003532064,120
48720,경상남도,경상남도 의령군,의령군,128.277057797,35.392431015,265.3978271484375,614.780029296875,497.8546447753906,459.3441670735677,314,1000.0,centroid_radius_mean,ok,3082,3570,47.47605365338872,120
48730,경상남도,경상남도 함안군,함안군,128.43087689,35.291002806,263.16583251953125,615.3360595703125,500.4206237792969,459.6408386230469,313,1000.0,centroid_radius_mean,ok,2971,3711,9.94006004775167,120
48740,경상남도,경상남도 창녕군,창녕군,128.493051648,35.508227729,272.03411865234375,616.5763549804688,499.5207824707031,462.7104187011719,316,1000.0,centroid_radius_mean,ok,3213,3763,47.997463381422605,120
48820,경상남도,경상남도 고성군,고성군,128.290815365,35.016564272,274.6404113769531,613.0618896484375,511.531005859375,466.4111022949219,313,1000.0,centroid_radius_mean,ok,2664,3588,22.454752846302764,120
48840,경상남도,경상남도 남해군,남해군,127.871712411,34.834874855,262.3253173828125,614.4591064453125,521.00732421875,465.9305826822917,316,1000.0,centroid_radius_mean,ok,2458,3208,34.87547493621519,120
48850,경상남도,경상남도 하동군,하동군,127.779041959,35.138180716,273.9490661621094,614.0452270507812,506.4178161621094,464.8040364583333,311,1000.0,centroid_radius_mean,ok,2794,3121,21.46002325689943,120
48860,경상남도,경상남도 산청군,산청군,127.884337642,35.36859736,240.62855529785156,607.7417602539062,484.0250549316406,444.1317901611328,312,1000.0,centroid_radius_mean,ok,3051,3214,8.813838434795176,120
48870,경상남도,경상남도 함양군,함양군,127.722040779,35.551601705,256.1155700683594,602.7996826171875,501.3536376953125,453.42296346028644,311,1000.0,centroid_radius_mean,ok,3253,3065,25.579571328829008,120
48880,경상남도,경상남도 거창군,거창군,127.904169273,35.732552192,270.8349304199219,612.1723022460938,504.6022033691406,462.53647867838544,312,1000.0,centroid_radius_mean,ok,3455,3228,47.578857905361524,120
48890,경상남도,경상남도 합천군,합천군,128.141543426,35.576577454,262.25341796875,606.3280639648438,500.0840759277344,456.2218526204427,317,1000.0,centroid_radius_mean,ok,3285,3444,54.736923142115906,120
47110,경상북도,경상북도 포항시,포항시,129.330854253,36.052507907,288.582275390625,601.2651977539062,488.84454345703125,459.5640055338542,315,1000.0,centroid_radius_mean,ok,3833,4506,53.793321781733155,120
47111,경상북도,경상북도 포항시 남구,포항시 남구,129.427659023,35.93996165,274.17218017578125,590.7854614257812,483.50982666015625,449.48915608723956,315,1000.0,centroid_radius_mean,ok,3711,4597,57.0927882030479,120
47113,경상북도,경상북도 포항시 북구,포항시 북구,129.234049483,36.165054164,265.3739013671875,592.280029296875,480.9009094238281,446.18494669596356,316,1000.0,centroid_radius_mean,ok,3956,4416,45.53362280018544,120
47130,경상북도,경상북도 경주시,경주시,129.235928977,35.826642931,283.0787048339844,601.97021484375,483.0054626464844,456.01812744140625,314,1000.0,centroid_radius_mean,ok,3580,4427,45.459777290143705,120
47150,경상북도,경상북도 김천시,김천시,128.077707272,36.060423858,263.7521667480469,603.9047241210938,502.51861572265625,456.7251688639323,314,1000.0,centroid_radius_mean,ok,3821,3380,54.544465921433144,120
47170,경상북도,경상북도 안동시,안동시,128.780042406,36.580242205,259.2096862792969,600.2041015625,493.53607177734375,450.98328653971356,314,1000.0,centroid_radius_mean,ok,4409,4000,32.41244507877261,120
47190,경상북도,경상북도 구미시,구미시,128.355555202,36.20730964,254.85458374023438,597.6387939453125,499.8271789550781,450.7735188802083,313,1000.0,centroid_radius_mean,ok,3988,3628,47.196879987898065,120
47210,경상북도,경상북도 영주시,영주시,128.59768227,36.870475417,266.3569641113281,597.8641357421875,483.6175537109375,449.27955118815106,311,1000.0,centroid_radius_mean,ok,4728,3832,21.453729298772217,120
47230,경상북도,경상북도 영천시,영천시,128.942623738,36.015778438,278.8240966796875,604.8638305664062,489.9069519042969,457.8649597167969,317,1000.0,centroid_radius_mean,ok,3785,4158,57.28154181579104,120
47250,경상북도,경상북도 상주시,상주시,128.067006745,36.42950234,241.09231567382812,592.3978271484375,503.08001708984375,445.5233866373698,312,1000.0,centroid_radius_mean,ok,4231,3366,41.08250766989866,120
47280,경상북도,경상북도 문경시,문경시,128.148607897,36.690791513,244.6702423095703,599.4686279296875,494.9300842285156,446.3563181559245,316,1000.0,centroid_radius_mean,ok,4523,3435,47.83777027928136,120
47290,경상북도,경상북도 경산시,경산시,128.809054872,35.834060068,271.2859191894531,610.0509643554688,494.2744445800781,458.537109375,317,1000.0,centroid_radius_mean,ok,3580,4042,40.39828232404069,120
47730,경상북도,경상북도 의성군,의성군,128.746189769,36.342149937,254.4405975341797,592.274169921875,485.39593505859375,444.0369008382161,312,1000.0,centroid_radius_mean,ok,4144,3975,36.393401785971264,120
47750,경상북도,경상북도 청송군,청송군,129.057384902,36.356976427,276.15673828125,596.8827514648438,483.8586730957031,452.2993876139323,311,1000.0,centroid_radius_mean,ok,4166,4253,19.937983208684866,120
47760,경상북도,경상북도 영양군,영양군,129.145030791,36.696379191,267.2018737792969,596.0939331054688,476.2307434082031,446.50885009765625,315,1000.0,centroid_radius_mean,ok,4545,4323,40.83896006102032,120
47770,경상북도,경상북도 영덕군,영덕군,129.317375124,36.482387456,275.79608154296875,592.7435913085938,484.47259521484375,451.00408935546875,316,1000.0,centroid_radius_mean,ok,4311,4482,44.67225597326173,120
47820,경상북도,경상북도 청도군,청도군,128.786762666,35.654379069,242.0598907470703,606.1796875,477.997802734375,442.0791269938151,311,1000.0,centroid_radius_mean,ok,3380,4026,29.005841133649223,120
47830,경상북도,경상북도 고령군,고령군,128.306449581,35.736997578,259.916015625,611.8809204101562,495.0077209472656,455.60155232747394,312,1000.0,centroid_radius_mean,ok,3465,3591,21.537697460903914,120
47840,경상북도,경상북도 성주군,성주군,128.233392803,35.907223421,263.721923828125,608.9966430664062,502.7134094238281,458.4773254394531,310,1000.0,centroid_radius_mean,ok,3653,3522,46.2178467846749,120
47850,경상북도,경상북도 칠곡군,칠곡군,128.462583548,36.01551131,249.88168334960938,595.6925048828125,491.9658508300781,445.8466796875,313,1000.0,centroid_radius_mean,ok,3776,3727,36.249188605395105,120
47900,경상북도,경상북도 예천군,예천군,128.43583262,36.678787269,258.8277893066406,596.8296508789062,496.32763671875,450.6616923014323,315,1000.0,centroid_radius_mean,ok,4513,3691,37.30644965889763,120
47920,경상북도,경상북도 봉화군,봉화군,128.912979265,36.934162159,284.8041076660156,603.0762939453125,477.352783203125,455.0777282714844,315,1000.0,centroid_radius_mean,ok,4804,4111,43.478182647908454,120
47930,경상북도,경상북도 울진군,울진군,129.312349059,36.903897572,263.2634582519531,575.4876708984375,448.0497741699219,428.9336344401042,311,1000.0,centroid_radius_mean,ok,4779,4466,29.878214196949727,120
47940,경상북도,경상북도 울릉군,울릉군,130.861095819,37.502377819,256.28466796875,541.30224609375,430.1266174316406,409.2378438313802,311,1000.0,centroid_radius_mean,ok,5489,5814,26.677811086566354,120
29110,광주광역시,광주광역시 동구,동구,126.949464279,35.11738023,235.70751953125,590.8775024414062,506.003173828125,444.19606526692706,315,1000.0,centroid_radius_mean,ok,2768,2366,41.697347447519036,120
29140,광주광역시,광주광역시 서구,서구,126.85071914,35.135693108,240.82748413085938,597.1871948242188,519.684326171875,452.5663350423177,317,1000.0,centroid_radius_mean,ok,2788,2277,48.70324558695564,120
29155,광주광역시,광주광역시 남구,남구,126.856718099,35.094058245,241.2788543701172,596.9942016601562,520.29541015625,452.8561553955078,313,1000.0,centroid_radius_mean,ok,2742,2282,11.798801959800274,120
29170,광주광역시,광주광역시 북구,북구,126.925486478,35.193246107,244.91668701171875,595.2281494140625,509.0653381347656,449.7367248535156,313,1000.0,centroid_radius_mean,ok,2852,2345,44.59323273550366,120
29200,광주광역시,광주광역시 광산구,광산구,126.752894938,35.165035014,224.90374755859375,594.4081420898438,522.083984375,447.1319580078125,312,1000.0,centroid_radius_mean,ok,2821,2188,37.686843651565475,120
