station_id,network,longitude,latitude,elevation_m,year,valid_tmax_days,valid_tmin_days,h02_mean_daily_max_c,h03_mean_daily_min_c,h04_heatwave_days,h05_tropical_nights,h06_wsdi_days,h07_annual_max_daily_max_c,h08_tx90p_days,h09_maximum_warm_spell_days,percentile_baseline_status,quality_status
133,ASOS,127.3721,36.37199,67.79,2023,358,358,19.42402234636872,9.38491620111732,17,6,,35.4,,,1991-2020_BASELINE_PENDING,PASS
133,ASOS,127.3721,36.37199,67.79,2024,359,359,19.964902506963803,10.57130919220055,38,35,,35.9,,,1991-2020_BASELINE_PENDING,PASS
133,ASOS,127.3721,36.37199,67.79,2025,358,358,19.58547486033519,10.004189944134081,36,30,,36.5,,,1991-2020_BASELINE_PENDING,PASS
135,ASOS,127.99458,36.22025,244.98,2021,358,358,17.443016759776533,7.561452513966476,2,0,,33,,,1991-2020_BASELINE_PENDING,PASS
135,ASOS,127.99458,36.22025,244.98,2022,358,358,17.331284916201128,7.024581005586591,6,0,,33.7,,,1991-2020_BASELINE_PENDING,PASS
135,ASOS,127.99458,36.22025,244.98,2023,358,358,18.127094972067045,7.784636871508382,4,1,,33.5,,,1991-2020_BASELINE_PENDING,PASS
135,ASOS,127.99458,36.22025,244.98,2024,359,359,18.46267409470752,9.020612813370473,11,3,,34.5,,,1991-2020_BASELINE_PENDING,PASS
135,ASOS,127.99458,36.22025,244.98,2025,358,358,17.858100558659224,8.08575418994413,11,0,,34.2,,,1991-2020_BASELINE_PENDING,PASS
136,ASOS,128.70733,36.57293,141.26,2021,358,358,18.362569832402237,7.939944134078205,14,0,,35.4,,,1991-2020_BASELINE_PENDING,PASS
136,ASOS,128.70733,36.57293,141.26,2022,358,358,18.48435754189945,7.387709497206702,15,10,,35.7,,,1991-2020_BASELINE_PENDING,PASS
136,ASOS,128.70733,36.57293,141.26,2023,358,358,19.08966480446927,8.212569832402227,16,4,,35.1,,,1991-2020_BASELINE_PENDING,PASS
136,ASOS,128.70733,36.57293,141.26,2024,359,359,19.613649025069645,9.460167130919219,35,14,,35.7,,,1991-2020_BASELINE_PENDING,PASS
136,ASOS,128.70733,36.57293,141.26,2025,358,358,19.02709497206704,8.348882681564245,37,8,,37.2,,,1991-2020_BASELINE_PENDING,PASS
137,ASOS,128.15741,36.40837,96.58,2021,358,358,18.669273743016774,8.547765363128491,14,0,,34.5,,,1991-2020_BASELINE_PENDING,PASS
