station_id,longitude,latitude,elevation_m,year,valid_days,heatwave_days,valid_nights,tropical_nights,wsdi_days,maximum_warm_spell_days
238,127.48175,36.10563,170.17,2024,359,32,352,15,0,5
238,127.48175,36.10563,170.17,2025,358,27,351,4,0,3
239,127.24438,36.48522,89.5,2021,358,12,351,4,0,4
239,127.24438,36.48522,89.5,2022,357,8,351,15,0,4
239,127.24438,36.48522,89.5,2023,356,14,350,4,6,6
239,127.24438,36.48522,89.5,2024,359,29,352,20,0,4
239,127.24438,36.48522,89.5,2025,358,20,351,14,0,4
243,126.71657,35.72961,12.2,2021,358,9,351,4,0,4
243,126.71657,35.72961,12.2,2022,358,6,351,21,0,3
243,126.71657,35.72961,12.2,2023,358,11,351,10,0,3
243,126.71657,35.72961,12.2,2024,359,26,352,39,0,5
243,126.71657,35.72961,12.2,2025,358,18,351,18,0,4
244,127.28556,35.61203,247.04,2021,358,1,350,0,0,4
244,127.28556,35.61203,247.04,2022,358,0,351,3,0,2
244,127.28556,35.61203,247.04,2023,358,6,351,1,6,6
244,127.28556,35.61203,247.04,2024,359,11,352,9,0,4
244,127.28556,35.61203,247.04,2025,358,16,351,2,7,7
245,126.83904,35.56333,68.7,2021,358,9,351,1,0,3
245,126.83904,35.56333,68.7,2022,358,6,351,18,0,2
245,126.83904,35.56333,68.7,2023,358,15,351,7,0,5
245,126.83904,35.56333,68.7,2024,359,42,352,34,0,5
245,126.83904,35.56333,68.7,2025,358,40,351,19,6,6
247,127.39652,35.4213,133.49,2021,356,7,349,0,0,4
247,127.39652,35.4213,133.49,2022,358,6,351,13,0,4
247,127.39652,35.4213,133.49,2023,358,18,349,7,0,5
247,127.39652,35.4213,133.49,2024,359,38,352,20,0,3
247,127.39652,35.4213,133.49,2025,358,37,351,13,0,5
248,127.52031,35.65696,406.87,2021,357,1,349,0,0,4
248,127.52031,35.65696,406.87,2022,358,0,351,3,0,4
248,127.52031,35.65696,406.87,2023,358,4,351,0,0,5
248,127.52031,35.65696,406.87,2024,359,1,352,6,0,3
248,127.52031,35.65696,406.87,2025,358,6,351,1,0,4
251,126.697,35.42661,58.84,2021,358,12,351,3,0,3
251,126.697,35.42661,58.84,2022,358,7,351,20,0,3
251,126.697,35.42661,58.84,2023,358,13,351,7,0,4
251,126.697,35.42661,58.84,2024,359,31,352,29,0,4
251,126.697,35.42661,58.84,2025,358,32,351,15,0,3
252,126.47784,35.28366,37.2,2021,356,12,349,2,0,2
252,126.47784,35.28366,37.2,2022,358,5,351,23,0,4
252,126.47784,35.28366,37.2,2023,355,11,348,11,0,5
252,126.47784,35.28366,37.2,2024,359,27,352,36,0,3
252,126.47784,35.28366,37.2,2025,351,26,343,22,0,3
253,128.89075,35.22981,54.59,2021,358,9,351,6,0,2
253,128.89075,35.22981,54.59,2022,358,11,351,22,0,2
253,128.89075,35.22981,54.59,2023,358,13,351,18,6,6
253,128.89075,35.22981,54.59,2024,359,40,352,42,0,3
253,128.89075,35.22981,54.59,2025,358,35,351,29,0,4
254,127.1286,35.37131,129.38,2021,358,17,350,1,0,3
254,127.1286,35.37131,129.38,2022,358,13,351,18,0,3
254,127.1286,35.37131,129.38,2023,358,16,351,3,0,4
254,127.1286,35.37131,129.38,2024,359,37,352,19,0,3
254,127.1286,35.37131,129.38,2025,358,34,351,6,0,5
255,128.6726,35.22655,50.95,2021,356,16,349,17,0,3
255,128.6726,35.22655,50.95,2022,358,18,351,28,0,2
255,128.6726,35.22655,50.95,2023,358,21,351,35,0,3
255,128.6726,35.22655,50.95,2024,359,49,352,60,0,3
255,128.6726,35.22655,50.95,2025,358,49,351,48,0,4
257,129.02009,35.30737,6.29,2021,358,17,351,10,0,3
257,129.02009,35.30737,6.29,2022,357,18,350,23,0,2
257,129.02009,35.30737,6.29,2023,357,23,350,29,0,5
257,129.02009,35.30737,6.29,2024,359,53,352,55,0,3
257,129.02009,35.30737,6.29,2025,356,44,350,31,0,4
258,127.21226,34.76335,1.41,2021,358,3,350,9,0,3
258,127.21226,34.76335,1.41,2022,358,2,351,22,0,2
258,127.21226,34.76335,1.41,2023,358,9,351,12,0,4
258,127.21226,34.76335,1.41,2024,359,31,352,34,0,3
258,127.21226,34.76335,1.41,2025,358,24,351,12,6,6
259,126.78408,34.64457,16.19,2021,358,5,351,6,0,3
