station_id,network,longitude,latitude,elevation_m,year,valid_tmax_days,valid_tmin_days,h02_mean_daily_max_c,h03_mean_daily_min_c,h04_heatwave_days,h05_tropical_nights,h06_wsdi_days,h07_annual_max_daily_max_c,h08_tx90p_days,h09_maximum_warm_spell_days,baseline_years,percentile_baseline_status,quality_status
133,ASOS,127.3721,36.37199,67.79,2025,358,0,19.58547486033519,,36,0,39,36.5,101,10,30,PASS,INSUFFICIENT_DAYS
135,ASOS,127.99458,36.22025,244.98,2021,358,0,17.443016759776533,,2,0,0,33,41,5,30,PASS,INSUFFICIENT_DAYS
135,ASOS,127.99458,36.22025,244.98,2022,358,0,17.331284916201128,,6,0,0,33.7,40,4,30,PASS,INSUFFICIENT_DAYS
135,ASOS,127.99458,36.22025,244.98,2023,358,0,18.127094972067045,,4,0,14,33.5,51,7,30,PASS,INSUFFICIENT_DAYS
135,ASOS,127.99458,36.22025,244.98,2024,359,0,18.46267409470752,,11,0,0,34.5,60,5,30,PASS,INSUFFICIENT_DAYS
135,ASOS,127.99458,36.22025,244.98,2025,358,0,17.858100558659224,,11,0,7,34.2,55,7,30,PASS,INSUFFICIENT_DAYS
136,ASOS,128.70733,36.57293,141.26,2021,358,0,18.362569832402237,,14,0,0,35.4,49,5,30,PASS,INSUFFICIENT_DAYS
136,ASOS,128.70733,36.57293,141.26,2022,358,0,18.48435754189945,,15,0,0,35.7,44,4,30,PASS,INSUFFICIENT_DAYS
136,ASOS,128.70733,36.57293,141.26,2023,358,0,19.08966480446927,,16,0,19,35.1,56,7,30,PASS,INSUFFICIENT_DAYS
136,ASOS,128.70733,36.57293,141.26,2024,359,0,19.613649025069645,,35,0,0,35.7,83,4,30,PASS,INSUFFICIENT_DAYS
136,ASOS,128.70733,36.57293,141.26,2025,358,0,19.02709497206704,,37,0,27,37.2,80,7,30,PASS,INSUFFICIENT_DAYS
137,ASOS,128.15741,36.40837,96.58,2021,358,0,18.669273743016774,,14,0,,34.5,,,19,INSUFFICIENT_BASELINE,INSUFFICIENT_DAYS
137,ASOS,128.15741,36.40837,96.58,2022,358,0,18.89636871508381,,18,0,,35.8,,,19,INSUFFICIENT_BASELINE,INSUFFICIENT_DAYS
137,ASOS,128.15741,36.40837,96.58,2023,358,0,19.474860335195547,,16,0,,35.5,,,19,INSUFFICIENT_BASELINE,INSUFFICIENT_DAYS
137,ASOS,128.15741,36.40837,96.58,2024,359,0,19.738718662952657,,36,0,,35.6,,,19,INSUFFICIENT_BASELINE,INSUFFICIENT_DAYS
137,ASOS,128.15741,36.40837,96.58,2025,358,0,19.197765363128475,,34,0,,36.2,,,19,INSUFFICIENT_BASELINE,INSUFFICIENT_DAYS
138,ASOS,129.38002,36.03201,3.94,2021,358,0,19.0905027932961,,9,0,0,34.9,45,4,30,PASS,INSUFFICIENT_DAYS
138,ASOS,129.38002,36.03201,3.94,2022,358,0,19.331843575418993,,21,0,0,37.7,52,4,30,PASS,INSUFFICIENT_DAYS
138,ASOS,129.38002,36.03201,3.94,2023,358,0,19.723743016759773,,19,0,7,36.4,52,7,30,PASS,INSUFFICIENT_DAYS
138,ASOS,129.38002,36.03201,3.94,2024,359,0,19.84986072423398,,25,0,0,37.3,52,4,30,PASS,INSUFFICIENT_DAYS
138,ASOS,129.38002,36.03201,3.94,2025,358,0,19.69189944134079,,40,0,12,36.5,64,6,30,PASS,INSUFFICIENT_DAYS
140,ASOS,126.76135,36.0053,27.85,2021,357,0,18.483753501400553,,7,0,6,33.9,80,6,30,PASS,INSUFFICIENT_DAYS
140,ASOS,126.76135,36.0053,27.85,2022,355,0,17.82760563380281,,5,0,6,35.4,53,6,30,PASS,INSUFFICIENT_DAYS
140,ASOS,126.76135,36.0053,27.85,2023,358,0,18.6513966480447,,10,0,26,35.5,72,7,30,PASS,INSUFFICIENT_DAYS
140,ASOS,126.76135,36.0053,27.85,2024,359,0,19.144011142061277,,22,0,33,35.1,97,13,30,PASS,INSUFFICIENT_DAYS
140,ASOS,126.76135,36.0053,27.85,2025,358,0,18.51983240223464,,14,0,13,35.5,94,7,30,PASS,INSUFFICIENT_DAYS
143,ASOS,128.65296,35.87797,54.27,2021,358,0,19.845251396648035,,18,0,0,36.2,52,5,30,PASS,INSUFFICIENT_DAYS
143,ASOS,128.65296,35.87797,54.27,2022,358,0,20.022067039106155,,32,0,6,37.1,55,6,30,PASS,INSUFFICIENT_DAYS
143,ASOS,128.65296,35.87797,54.27,2023,358,0,20.450558659217887,,21,0,20,37.6,57,8,30,PASS,INSUFFICIENT_DAYS
143,ASOS,128.65296,35.87797,54.27,2024,359,0,20.879387186629522,,50,0,0,36.8,68,5,30,PASS,INSUFFICIENT_DAYS
143,ASOS,128.65296,35.87797,54.27,2025,358,0,20.33072625698325,,46,0,32,37.4,65,12,30,PASS,INSUFFICIENT_DAYS
146,ASOS,127.11718,35.84092,60.44,2021,358,0,19.383798882681567,,15,0,6,34.3,53,6,30,PASS,INSUFFICIENT_DAYS
146,ASOS,127.11718,35.84092,60.44,2022,358,0,18.930446927374316,,8,0,0,35,49,4,30,PASS,INSUFFICIENT_DAYS
146,ASOS,127.11718,35.84092,60.44,2023,358,0,19.646927374301686,,15,0,13,34.5,52,7,30,PASS,INSUFFICIENT_DAYS
146,ASOS,127.11718,35.84092,60.44,2024,359,0,20.241504178272987,,32,0,12,36.2,73,12,30,PASS,INSUFFICIENT_DAYS
146,ASOS,127.11718,35.84092,60.44,2025,358,0,19.844413407821236,,42,0,23,37.1,84,8,30,PASS,INSUFFICIENT_DAYS
152,ASOS,129.33469,35.58237,81.14,2021,358,0,19.14162011173183,,3,0,0,33.4,38,4,30,PASS,INSUFFICIENT_DAYS
152,ASOS,129.33469,35.58237,81.14,2022,358,0,19.009497206703912,,8,0,0,34.5,37,4,30,PASS,INSUFFICIENT_DAYS
152,ASOS,129.33469,35.58237,81.14,2023,358,0,19.534357541899453,,2,0,13,34.4,46,7,30,PASS,INSUFFICIENT_DAYS
152,ASOS,129.33469,35.58237,81.14,2024,359,0,19.796378830083565,,14,0,0,35.8,53,5,30,PASS,INSUFFICIENT_DAYS
152,ASOS,129.33469,35.58237,81.14,2025,358,0,19.448044692737433,,24,0,13,35.8,56,7,30,PASS,INSUFFICIENT_DAYS
155,ASOS,128.57282,35.17019,34.97,2021,358,0,19.484916201117315,,6,0,9,35.2,48,9,30,PASS,INSUFFICIENT_DAYS
155,ASOS,128.57282,35.17019,34.97,2022,358,0,19.305865921787703,,8,0,0,34.4,55,4,30,PASS,INSUFFICIENT_DAYS
155,ASOS,128.57282,35.17019,34.97,2023,358,0,19.772625698324035,,11,0,27,35.5,63,8,30,PASS,INSUFFICIENT_DAYS
155,ASOS,128.57282,35.17019,34.97,2024,359,0,20.67103064066852,,36,0,22,37.2,92,16,30,PASS,INSUFFICIENT_DAYS
155,ASOS,128.57282,35.17019,34.97,2025,358,0,20.106424581005584,,25,0,31,35.3,81,11,30,PASS,INSUFFICIENT_DAYS
156,ASOS,126.89156,35.17294,70.28,2021,358,0,19.934357541899445,,11,0,6,34.4,55,6,30,PASS,INSUFFICIENT_DAYS
156,ASOS,126.89156,35.17294,70.28,2022,358,0,19.768435754189934,,9,0,0,34.5,58,5,30,PASS,INSUFFICIENT_DAYS
156,ASOS,126.89156,35.17294,70.28,2023,358,0,20.0913407821229,,14,0,32,35.2,68,7,30,PASS,INSUFFICIENT_DAYS
156,ASOS,126.89156,35.17294,70.28,2024,359,0,20.4526462395543,,26,0,18,36.3,81,12,30,PASS,INSUFFICIENT_DAYS
156,ASOS,126.89156,35.17294,70.28,2025,358,0,19.91871508379889,,35,0,18,35.8,74,11,30,PASS,INSUFFICIENT_DAYS
159,ASOS,129.03203,35.10468,69.56,2021,358,0,19.596089385474862,,1,0,9,34.6,58,9,30,PASS,INSUFFICIENT_DAYS
159,ASOS,129.03203,35.10468,69.56,2022,358,0,19.346648044692742,,1,0,15,33.1,56,8,30,PASS,INSUFFICIENT_DAYS
159,ASOS,129.03203,35.10468,69.56,2023,358,0,19.84720670391061,,4,0,13,34.4,62,7,30,PASS,INSUFFICIENT_DAYS
159,ASOS,129.03203,35.10468,69.56,2024,359,0,20.495543175487473,,14,0,24,34.6,94,17,30,PASS,INSUFFICIENT_DAYS
