file,indicator_id,dimension,component,indicator_code,indicator_ko,definition,scenario,period,period_ko,period_years,normalized,normalization_min,normalization_max,valid_cells,min,max,mean,std
H_climate_WSDI_SSP370_ST_100m.tif,H_climate_WSDI_SSP370_ST_100m,H,미래 기후변화,WSDI,온난일 계속기간,온난일 계속기간,SSP370,ST,단기,2021-2040,False,,,12487,32.2572021484375,38.34619903564453,35.835548400878906,1.3323974609375
H_climate_WSDI_SSP370_ST_100m_z.tif,H_climate_WSDI_SSP370_ST_100m_z,H,미래 기후변화,WSDI,온난일 계속기간,온난일 계속기간,SSP370,ST,단기,2021-2040,True,32.2572021484375,38.34619903564453,12487,0.0,1.0,0.5876740217208862,0.2188205122947693
H_climate_HW33_SSP370_MT_100m.tif,H_climate_HW33_SSP370_MT_100m,H,미래 기후변화,HW33,폭염일수,33도 이상인 날의 수(연평균),SSP370,MT,중기,2041-2060,False,,,12487,21.62220001220703,43.21134948730469,33.740440368652344,4.142918586730957
H_climate_HW33_SSP370_MT_100m_z.tif,H_climate_HW33_SSP370_MT_100m_z,H,미래 기후변화,HW33,폭염일수,33도 이상인 날의 수(연평균),SSP370,MT,중기,2041-2060,True,21.62220001220703,43.21134948730469,12487,0.0,1.0,0.5613117218017578,0.1918981671333313
H_climate_TR25_SSP370_MT_100m.tif,H_climate_TR25_SSP370_MT_100m,H,미래 기후변화,TR25,열대야일수,최저기온이 25도 이상인 날의 수(연평균),SSP370,MT,중기,2041-2060,False,,,12487,12.492199897766113,34.38972473144531,27.798473358154297,3.487149953842163
H_climate_TR25_SSP370_MT_100m_z.tif,H_climate_TR25_SSP370_MT_100m_z,H,미래 기후변화,TR25,열대야일수,최저기온이 25도 이상인 날의 수(연평균),SSP370,MT,중기,2041-2060,True,12.492199897766113,34.38972473144531,12487,0.0,1.0,0.6989955306053162,0.15924859046936035
H_climate_WSDI_SSP370_MT_100m.tif,H_climate_WSDI_SSP370_MT_100m,H,미래 기후변화,WSDI,온난일 계속기간,온난일 계속기간,SSP370,MT,중기,2041-2060,False,,,12487,51.68775177001953,58.3803596496582,55.526145935058594,1.5240756273269653
H_climate_WSDI_SSP370_MT_100m_z.tif,H_climate_WSDI_SSP370_MT_100m_z,H,미래 기후변화,WSDI,온난일 계속기간,온난일 계속기간,SSP370,MT,중기,2041-2060,True,51.68775177001953,58.3803596496582,12487,0.0,1.0,0.5735272765159607,0.22772522270679474
H_climate_HW33_SSP370_LT_100m.tif,H_climate_HW33_SSP370_LT_100m,H,미래 기후변화,HW33,폭염일수,33도 이상인 날의 수(연평균),SSP370,LT,장기,2081-2100,False,,,12487,57.456321716308594,84.44482421875,73.58011627197266,4.999546527862549
H_climate_HW33_SSP370_LT_100m_z.tif,H_climate_HW33_SSP370_LT_100m_z,H,미래 기후변화,HW33,폭염일수,33도 이상인 날의 수(연평균),SSP370,LT,장기,2081-2100,True,57.456321716308594,84.44482421875,12487,0.0,1.0,0.5974320769309998,0.1852472871541977
H_climate_TR25_SSP370_LT_100m.tif,H_climate_TR25_SSP370_LT_100m,H,미래 기후변화,TR25,열대야일수,최저기온이 25도 이상인 날의 수(연평균),SSP370,LT,장기,2081-2100,False,,,12487,42.70140075683594,65.84432983398438,59.230323791503906,3.515678882598877
H_climate_TR25_SSP370_LT_100m_z.tif,H_climate_TR25_SSP370_LT_100m_z,H,미래 기후변화,TR25,열대야일수,최저기온이 25도 이상인 날의 수(연평균),SSP370,LT,장기,2081-2100,True,42.70140075683594,65.84432983398438,12487,0.0,1.0,0.7142105102539062,0.15191157162189484
H_climate_WSDI_SSP370_LT_100m.tif,H_climate_WSDI_SSP370_LT_100m,H,미래 기후변화,WSDI,온난일 계속기간,온난일 계속기간,SSP370,LT,장기,2081-2100,False,,,12487,93.322265625,99.8969955444336,97.34174346923828,1.4096105098724365
H_climate_WSDI_SSP370_LT_100m_z.tif,H_climate_WSDI_SSP370_LT_100m_z,H,미래 기후변화,WSDI,온난일 계속기간,온난일 계속기간,SSP370,LT,장기,2081-2100,True,93.322265625,99.8969955444336,12487,0.0,1.0,0.6113526821136475,0.21439822018146515
