gid,sido_cd,sido_nm,sgg_nm,sgg_cd,pop_r,pop_w,pc_in,pc_out,type,bd_cnt,apt_cnt,dh_cnt,cp_cnt,wk_cnt
다사5324,31,경기도,수원시 장안구,31011,233,1233,0.436734412091863,0.060133984165571,중심지Ⅲ-1,123.0,2.0,50.0,81.0,1189.0
다사6016,31,경기도,수원시 영통구,31014,16724,15915,5.518401825854132,6.245176976884582,중심지Ⅰ,462.0,92.0,64.0,2324.0,12688.0
다사6217,31,경기도,수원시 영통구,31014,16147,15226,5.188307130414708,5.405052673833548,중심지Ⅰ,366.0,63.0,173.0,2770.0,11059.0
다사5923,31,경기도,수원시 영통구,31014,5471,432,0.115594196676691,1.71469428635225,중심지Ⅱ,155.0,73.0,73.0,205.0,306.0
다사5920,31,경기도,수원시 영통구,31014,7542,13742,4.836640278553228,1.683751556635985,중심지Ⅰ,305.0,76.0,73.0,571.0,8773.0
다사5316,31,경기도,수원시 권선구,31012,5105,7096,2.48120501035601,1.606102819800831,중심지Ⅰ,420.0,53.0,159.0,882.0,5529.0
다사5621,31,경기도,수원시 장안구,31011,21020,12890,3.973346999851603,7.120330785274784,중심지Ⅰ,2309.0,349.0,1394.0,2571.0,8537.0
다사6018,31,경기도,수원시 영통구,31014,10865,13820,4.829720907625396,3.520465286586335,중심지Ⅰ,316.0,71.0,90.0,665.0,8175.0
다사5315,31,경기도,수원시 권선구,31012,6478,5786,2.031445900047055,2.296767900071417,중심지Ⅰ,241.0,54.0,3.0,510.0,4952.0
다사5625,31,경기도,수원시 장안구,31011,38,20,0.006512349108546,0.008757376334792,주변부,30.0,0.0,19.0,5.0,34.0
다사5323,31,경기도,수원시 장안구,31011,1473,773,0.270262488004657,0.508511652506915,중심지Ⅱ,92.0,11.0,39.0,89.0,369.0
다사5818,31,경기도,수원시 팔달구,31013,11537,39220,14.084583034507771,4.781527478796366,중심지Ⅰ,551.0,78.0,11.0,5946.0,35078.0
다사5921,31,경기도,수원시 영통구,31014,5656,11255,3.950553777971692,2.309028226940125,중심지Ⅰ,101.0,11.0,0.0,1311.0,9011.0
다사5121,31,경기도,수원시 권선구,31012,8,35,0.01180363275924,0.006422075978847,주변부,10.0,0.0,1.0,8.0,29.0
다사5922,31,경기도,수원시 영통구,31014,3987,7079,2.450271352090417,1.530205558232634,중심지Ⅰ,266.0,33.0,174.0,1555.0,7837.0
다사5522,31,경기도,수원시 장안구,31011,21679,7053,2.131980289410233,6.903731677260932,중심지Ⅰ,792.0,222.0,405.0,1522.0,5177.0
다사6021,31,경기도,수원시 영통구,31014,19751,5843,1.888581241478328,6.57854110269566,중심지Ⅰ,318.0,111.0,165.0,1760.0,11045.0
다사5419,31,경기도,수원시 권선구,31012,3315,2316,0.759502714784172,1.046798384552123,중심지Ⅰ,467.0,81.0,265.0,243.0,1116.0
다사5716,31,경기도,수원시 권선구,31012,12167,5135,1.700130139149779,4.061087318987488,중심지Ⅰ,588.0,115.0,333.0,1051.0,3327.0
다사5824,31,경기도,수원시 장안구,31011,8,3,0.001221065457852,0.001751475266958,주변부,8.0,0.0,8.0,0.0,0.0
