grid_id,center_x,center_y,distance_m,distance_z,accessibility_z,nearest_shelter_name,nearest_shelter_no,nearest_shelter_lon,nearest_shelter_lat,nearest_shelter_x_5179,nearest_shelter_y_5179
832,952950.0,1925350.0,793.3535743619425,0.16267177,0.8373282,이화경로당,4111003,126.9750117,37.3207062,953485.34659343,1924764.496866912
833,953050.0,1925350.0,729.6167317618639,0.14959837,0.85040164,이화경로당,4111003,126.9750117,37.3207062,953485.34659343,1924764.496866912
834,953150.0,1925350.0,674.7379169580267,0.13834187,0.8616581,이화경로당,4111003,126.9750117,37.3207062,953485.34659343,1924764.496866912
835,953250.0,1925350.0,631.0324380686387,0.1293772,0.8706228,이화경로당,4111003,126.9750117,37.3207062,953485.34659343,1924764.496866912
836,953350.0,1925350.0,600.9431081299159,0.12320543,0.8767946,이화경로당,4111003,126.9750117,37.3207062,953485.34659343,1924764.496866912
837,953450.0,1925350.0,586.5690927101745,0.120257095,0.8797429,이화경로당,4111003,126.9750117,37.3207062,953485.34659343,1924764.496866912
838,953550.0,1925350.0,589.0619507631015,0.12076842,0.8792316,이화경로당,4111003,126.9750117,37.3207062,953485.34659343,1924764.496866912
839,953650.0,1925350.0,608.2143233686822,0.12469686,0.87530315,이화경로당,4111003,126.9750117,37.3207062,953485.34659343,1924764.496866912
840,953750.0,1925350.0,642.5382046733232,0.13173722,0.86826277,이화경로당,4111003,126.9750117,37.3207062,953485.34659343,1924764.496866912
841,953850.0,1925350.0,689.7724449257239,0.1414257,0.8585743,이화경로당,4111003,126.9750117,37.3207062,953485.34659343,1924764.496866912
842,953950.0,1925350.0,747.4735494268705,0.15326108,0.84673893,이화경로당,4111003,126.9750117,37.3207062,953485.34659343,1924764.496866912
843,954050.0,1925350.0,813.4171060451075,0.16678712,0.83321285,이화경로당,4111003,126.9750117,37.3207062,953485.34659343,1924764.496866912
844,954150.0,1925350.0,885.7641162977823,0.1816266,0.8183734,이화경로당,4111003,126.9750117,37.3207062,953485.34659343,1924764.496866912
845,954250.0,1925350.0,963.0725575130798,0.19748376,0.8025162,이화경로당,4111003,126.9750117,37.3207062,953485.34659343,1924764.496866912
846,954350.0,1925350.0,1044.241079611781,0.21413267,0.78586733,이화경로당,4111003,126.9750117,37.3207062,953485.34659343,1924764.496866912
847,954450.0,1925350.0,1128.437022461941,0.23140255,0.7685975,이화경로당,4111003,126.9750117,37.3207062,953485.34659343,1924764.496866912
848,954550.0,1925350.0,1162.5026040144758,0.23838992,0.7616101,이목경로당,4111004,126.9846113,37.3157318,954332.8804252825,1924207.9529805586
849,954650.0,1925350.0,1185.2578703741783,0.24305737,0.75694263,이목경로당,4111004,126.9846113,37.3157318,954332.8804252825,1924207.9529805586
850,954750.0,1925350.0,1215.8372153489252,0.24932967,0.7506703,이목경로당,4111004,126.9846113,37.3157318,954332.8804252825,1924207.9529805586
851,954850.0,1925350.0,1253.6682372824655,0.2570894,0.7429106,이목경로당,4111004,126.9846113,37.3157318,954332.8804252825,1924207.9529805586
852,954950.0,1925350.0,1298.1170841316357,0.26620653,0.7337935,이목경로당,4111004,126.9846113,37.3157318,954332.8804252825,1924207.9529805586
853,955050.0,1925350.0,1348.5295247260683,0.27654693,0.72345304,이목경로당,4111004,126.9846113,37.3157318,954332.8804252825,1924207.9529805586
854,955150.0,1925350.0,1404.2634346878833,0.2879788,0.71202123,이목경로당,4111004,126.9846113,37.3157318,954332.8804252825,1924207.9529805586
855,955250.0,1925350.0,1464.7114763477848,0.3003776,0.6996224,이목경로당,4111004,126.9846113,37.3157318,954332.8804252825,1924207.9529805586
856,955350.0,1925350.0,1529.3147563168293,0.31362873,0.68637127,이목경로당,4111004,126.9846113,37.3157318,954332.8804252825,1924207.9529805586
857,955450.0,1925350.0,1597.5692594788807,0.3276288,0.6723712,이목경로당,4111004,126.9846113,37.3157318,954332.8804252825,1924207.9529805586
858,955550.0,1925350.0,1669.027097975163,0.3422859,0.6577141,이목경로당,4111004,126.9846113,37.3157318,954332.8804252825,1924207.9529805586
859,955650.0,1925350.0,1743.2944010461601,0.35751927,0.64248073,이목경로당,4111004,126.9846113,37.3157318,954332.8804252825,1924207.9529805586
860,955750.0,1925350.0,1778.4733919490154,0.36473504,0.635265,파장동행정복지센터,4111100111,126.997412,37.310259,955463.8933084551,1923594.690748921
861,955850.0,1925350.0,1797.2726404693337,0.36859104,0.63140893,파장동행정복지센터,4111100111,126.997412,37.310259,955463.8933084551,1923594.690748921
862,955950.0,1925350.0,1821.3759311269562,0.373535,0.62646496,파장동행정복지센터,4111100111,126.997412,37.310259,955463.8933084551,1923594.690748921
863,956050.0,1925350.0,1850.5760240523925,0.37952438,0.62047565,파장동행정복지센터,4111100111,126.997412,37.310259,955463.8933084551,1923594.690748921
864,956150.0,1925350.0,1884.6360282841185,0.3865106,0.6134894,파장동행정복지센터,4111100111,126.997412,37.310259,955463.8933084551,1923594.690748921
865,956250.0,1925350.0,1923.297766185858,0.39444074,0.60555923,파장동행정복지센터,4111100111,126.997412,37.310259,955463.8933084551,1923594.690748921
866,956350.0,1925350.0,1966.2898147843025,0.40325907,0.59674096,파장동행정복지센터,4111100111,126.997412,37.310259,955463.8933084551,1923594.690748921
867,956450.0,1925350.0,2013.3347893565694,0.41290873,0.58709127,파장동행정복지센터,4111100111,126.997412,37.310259,955463.8933084551,1923594.690748921
868,956550.0,1925350.0,2053.6361362533544,0.42117518,0.5788248,광교산임광그대가(아)경로당,4111116,127.0127785,37.3077999,956824.1761949915,1923314.7484690521
869,956650.0,1925350.0,2042.6909068988673,0.4189301,0.5810699,광교산임광그대가(아)경로당,4111116,127.0127785,37.3077999,956824.1761949915,1923314.7484690521
870,956750.0,1925350.0,2036.602784572639,0.41768134,0.58231866,광교산임광그대가(아)경로당,4111116,127.0127785,37.3077999,956824.1761949915,1923314.7484690521
871,956850.0,1925350.0,2035.4153539586794,0.4174378,0.5825622,광교산임광그대가(아)경로당,4111116,127.0127785,37.3077999,956824.1761949915,1923314.7484690521
872,956950.0,1925350.0,2039.137176389182,0.41820118,0.5817988,광교산임광그대가(아)경로당,4111116,127.0127785,37.3077999,956824.1761949915,1923314.7484690521
873,957050.0,1925350.0,2047.7414839608432,0.41996604,0.58003396,광교산임광그대가(아)경로당,4111116,127.0127785,37.3077999,956824.1761949915,1923314.7484690521
874,957150.0,1925350.0,2061.1671320239575,0.42271993,0.57728004,광교산임광그대가(아)경로당,4111116,127.0127785,37.3077999,956824.1761949915,1923314.7484690521
875,957250.0,1925350.0,2079.320732147298,0.4264435,0.57355654,광교산임광그대가(아)경로당,4111116,127.0127785,37.3077999,956824.1761949915,1923314.7484690521
876,957350.0,1925350.0,2102.079795854402,0.43111172,0.5688883,광교산임광그대가(아)경로당,4111116,127.0127785,37.3077999,956824.1761949915,1923314.7484690521
877,957450.0,1925350.0,2129.2966512773637,0.4366943,0.56330574,광교산임광그대가(아)경로당,4111116,127.0127785,37.3077999,956824.1761949915,1923314.7484690521
878,957550.0,1925350.0,2160.8028577690066,0.44315675,0.5568433,광교산임광그대가(아)경로당,4111116,127.0127785,37.3077999,956824.1761949915,1923314.7484690521
879,957650.0,1925350.0,2196.4138387709213,0.45046106,0.54953897,광교산임광그대가(아)경로당,4111116,127.0127785,37.3077999,956824.1761949915,1923314.7484690521
880,957750.0,1925350.0,2235.933476681747,0.4585672,0.5414328,광교산임광그대가(아)경로당,4111116,127.0127785,37.3077999,956824.1761949915,1923314.7484690521
881,957850.0,1925350.0,2279.1584572266656,0.46743327,0.5325667,광교산임광그대가(아)경로당,4111116,127.0127785,37.3077999,956824.1761949915,1923314.7484690521
882,957950.0,1925350.0,2325.882205561912,0.47701705,0.52298295,광교산임광그대가(아)경로당,4111116,127.0127785,37.3077999,956824.1761949915,1923314.7484690521
883,958050.0,1925350.0,2375.898313301993,0.48727608,0.5127239,광교산임광그대가(아)경로당,4111116,127.0127785,37.3077999,956824.1761949915,1923314.7484690521
884,958150.0,1925350.0,2384.476338040313,0.48903558,0.5109644,광교대광로제비앙경로당,4111700145,127.0405555,37.3073564,959285.4498524873,1923253.2212708155
885,958250.0,1925350.0,2338.5117994520956,0.47960755,0.5203924,광교대광로제비앙경로당,4111700145,127.0405555,37.3073564,959285.4498524873,1923253.2212708155
886,958350.0,1925350.0,2295.985075230067,0.47088468,0.5291153,광교대광로제비앙경로당,4111700145,127.0405555,37.3073564,959285.4498524873,1923253.2212708155
887,958450.0,1925350.0,2257.090493352395,0.4629068,0.53709316,광교대광로제비앙경로당,4111700145,127.0405555,37.3073564,959285.4498524873,1923253.2212708155
888,958550.0,1925350.0,2222.0187948539715,0.45571306,0.54428697,광교대광로제비앙경로당,4111700145,127.0405555,37.3073564,959285.4498524873,1923253.2212708155
889,958650.0,1925350.0,2190.953571892119,0.4493411,0.55065894,광교대광로제비앙경로당,4111700145,127.0405555,37.3073564,959285.4498524873,1923253.2212708155
890,958750.0,1925350.0,2164.067370413725,0.44382632,0.5561737,광교대광로제비앙경로당,4111700145,127.0405555,37.3073564,959285.4498524873,1923253.2212708155
891,958850.0,1925350.0,2141.5175958165537,0.439201,0.560799,광교대광로제비앙경로당,4111700145,127.0405555,37.3073564,959285.4498524873,1923253.2212708155
892,958950.0,1925350.0,2123.4424039032588,0.4354935,0.56450653,광교대광로제비앙경로당,4111700145,127.0405555,37.3073564,959285.4498524873,1923253.2212708155
893,959050.0,1925350.0,2109.9567939171147,0.4327274,0.5672726,광교대광로제비앙경로당,4111700145,127.0405555,37.3073564,959285.4498524873,1923253.2212708155
894,952850.0,1925250.0,799.6115219413111,0.16395538,0.8360446,이화경로당,4111003,126.9750117,37.3207062,953485.34659343,1924764.496866912
895,952950.0,1925250.0,722.7096701548231,0.14818162,0.8518184,이화경로당,4111003,126.9750117,37.3207062,953485.34659343,1924764.496866912
896,953050.0,1925250.0,652.1042467652596,0.13369936,0.86630064,이화경로당,4111003,126.9750117,37.3207062,953485.34659343,1924764.496866912
897,953150.0,1925250.0,590.0598528651818,0.12097311,0.8790269,이화경로당,4111003,126.9750117,37.3207062,953485.34659343,1924764.496866912
898,953250.0,1925250.0,539.5380535951783,0.1106103,0.8893897,이화경로당,4111003,126.9750117,37.3207062,953485.34659343,1924764.496866912
