grid_id,gid,lbl,centroid_x,centroid_y,row,col,ADM_CD,ADM_NM,dist_to_admin,SGG_NM,population,single_household_ratio,low_income_ratio_proxy,chronic_disease_ratio_proxy
4781,다사603212,117.0,960350.0,1921250.0,69,112,31014620,광교1동,,영통구,117.0,0.3732712583869643,0.00339172496193945,0.7521117761817314
4782,다사604212,,960450.0,1921250.0,69,113,31014620,광교1동,,영통구,0.0,0.3732712583869643,0.00339172496193945,0.7521117761817314
4783,다사605212,,960550.0,1921250.0,69,114,31014620,광교1동,,영통구,0.0,0.3732712583869643,0.00339172496193945,0.7521117761817314
4784,다사606212,,960650.0,1921250.0,69,115,31014620,광교1동,,영통구,0.0,0.3732712583869643,0.00339172496193945,0.7521117761817314
4785,다사607212,,960750.0,1921250.0,69,116,31014620,광교1동,,영통구,0.0,0.3732712583869643,0.00339172496193945,0.7521117761817314
4786,다사608212,586.0,960850.0,1921250.0,69,117,31014620,광교1동,,영통구,586.0,0.3732712583869643,0.00339172496193945,0.7521117761817314
4787,다사609212,494.0,960950.0,1921250.0,69,118,31014620,광교1동,,영통구,494.0,0.3732712583869643,0.00339172496193945,0.7521117761817314
4788,다사610212,228.0,961050.0,1921250.0,69,119,31014620,광교1동,,영통구,228.0,0.3732712583869643,0.00339172496193945,0.7521117761817314
4789,다사611212,,961150.0,1921250.0,69,120,31014630,광교2동,,영통구,0.0,0.26421969427657305,0.02141149913690081,0.7521117761817314
4790,다사612212,288.0,961250.0,1921250.0,69,121,31014630,광교2동,,영통구,288.0,0.26421969427657305,0.02141149913690081,0.7521117761817314
4791,다사613212,487.0,961350.0,1921250.0,69,122,31014630,광교2동,,영통구,487.0,0.26421969427657305,0.02141149913690081,0.7521117761817314
4792,다사614212,,961450.0,1921250.0,69,123,31014630,광교2동,,영통구,0.0,0.26421969427657305,0.02141149913690081,0.7521117761817314
4793,다사615212,,961550.0,1921250.0,69,124,31014630,광교2동,,영통구,0.0,0.26421969427657305,0.02141149913690081,0.7521117761817314
4794,다사616212,31.0,961650.0,1921250.0,69,125,31014630,광교2동,,영통구,31.0,0.26421969427657305,0.02141149913690081,0.7521117761817314
4795,다사617212,,961750.0,1921250.0,69,126,31014630,광교2동,,영통구,0.0,0.26421969427657305,0.02141149913690081,0.7521117761817314
4796,다사618212,,961850.0,1921250.0,69,127,31014630,광교2동,,영통구,0.0,0.26421969427657305,0.02141149913690081,0.7521117761817314
4797,다사619212,,961950.0,1921250.0,69,128,31014630,광교2동,,영통구,0.0,0.26421969427657305,0.02141149913690081,0.7521117761817314
4798,다사620212,375.0,962050.0,1921250.0,69,129,31014630,광교2동,,영통구,375.0,0.26421969427657305,0.02141149913690081,0.7521117761817314
4799,다사621212,,962150.0,1921250.0,69,130,31014630,광교2동,,영통구,0.0,0.26421969427657305,0.02141149913690081,0.7521117761817314
4800,다사622212,,962250.0,1921250.0,69,131,31014630,광교2동,,영통구,0.0,0.26421969427657305,0.02141149913690081,0.7521117761817314
4801,다사623212,,962350.0,1921250.0,69,132,31014630,광교2동,,영통구,0.0,0.26421969427657305,0.02141149913690081,0.7521117761817314
4802,다사624212,,962450.0,1921250.0,69,133,31014630,광교2동,,영통구,0.0,0.26421969427657305,0.02141149913690081,0.7521117761817314
4803,다사625212,,962550.0,1921250.0,69,134,31014630,광교2동,,영통구,0.0,0.26421969427657305,0.02141149913690081,0.7521117761817314
4804,다사626212,,962650.0,1921250.0,69,135,31014630,광교2동,,영통구,0.0,0.26421969427657305,0.02141149913690081,0.7521117761817314
4805,다사627212,,962750.0,1921250.0,69,136,31014630,광교2동,,영통구,0.0,0.26421969427657305,0.02141149913690081,0.7521117761817314
4806,다사628212,,962850.0,1921250.0,69,137,31014630,광교2동,,영통구,0.0,0.26421969427657305,0.02141149913690081,0.7521117761817314
4807,다사629212,,962950.0,1921250.0,69,138,31014630,광교2동,,영통구,0.0,0.26421969427657305,0.02141149913690081,0.7521117761817314
4808,다사630212,,963050.0,1921250.0,69,139,31014630,광교2동,,영통구,0.0,0.26421969427657305,0.02141149913690081,0.7521117761817314
4809,다사631212,,963150.0,1921250.0,69,140,31014630,광교2동,,영통구,0.0,0.26421969427657305,0.02141149913690081,0.7521117761817314
4810,다사632212,,963250.0,1921250.0,69,141,31014630,광교2동,,영통구,0.0,0.26421969427657305,0.02141149913690081,0.7521117761817314
4811,다사633212,,963350.0,1921250.0,69,142,31014630,광교2동,,영통구,0.0,0.26421969427657305,0.02141149913690081,0.7521117761817314
4812,다사634212,,963450.0,1921250.0,69,143,31014630,광교2동,,영통구,0.0,0.26421969427657305,0.02141149913690081,0.7521117761817314
4813,다사635212,,963550.0,1921250.0,69,144,31014630,광교2동,40.059169477507616,영통구,0.0,0.26421969427657305,0.02141149913690081,0.7521117761817314
4814,다사496211,,949650.0,1921150.0,70,5,31012620,입북동,,권선구,0.0,0.2592266028467061,0.02463452880772927,0.7896508161006539
4815,다사497211,,949750.0,1921150.0,70,6,31012620,입북동,,권선구,0.0,0.2592266028467061,0.02463452880772927,0.7896508161006539
4816,다사498211,,949850.0,1921150.0,70,7,31012620,입북동,,권선구,0.0,0.2592266028467061,0.02463452880772927,0.7896508161006539
4817,다사499211,,949950.0,1921150.0,70,8,31012620,입북동,,권선구,0.0,0.2592266028467061,0.02463452880772927,0.7896508161006539
4818,다사500211,,950050.0,1921150.0,70,9,31012620,입북동,,권선구,0.0,0.2592266028467061,0.02463452880772927,0.7896508161006539
4819,다사501211,,950150.0,1921150.0,70,10,31012620,입북동,,권선구,0.0,0.2592266028467061,0.02463452880772927,0.7896508161006539
4820,다사502211,,950250.0,1921150.0,70,11,31012620,입북동,,권선구,0.0,0.2592266028467061,0.02463452880772927,0.7896508161006539
4821,다사503211,,950350.0,1921150.0,70,12,31012620,입북동,,권선구,0.0,0.2592266028467061,0.02463452880772927,0.7896508161006539
4822,다사504211,1001.0,950450.0,1921150.0,70,13,31012620,입북동,,권선구,1001.0,0.2592266028467061,0.02463452880772927,0.7896508161006539
4823,다사505211,,950550.0,1921150.0,70,14,31012620,입북동,,권선구,0.0,0.2592266028467061,0.02463452880772927,0.7896508161006539
4824,다사506211,,950650.0,1921150.0,70,15,31012620,입북동,,권선구,0.0,0.2592266028467061,0.02463452880772927,0.7896508161006539
4825,다사507211,,950750.0,1921150.0,70,16,31012620,입북동,,권선구,0.0,0.2592266028467061,0.02463452880772927,0.7896508161006539
4826,다사508211,,950850.0,1921150.0,70,17,31012620,입북동,,권선구,0.0,0.2592266028467061,0.02463452880772927,0.7896508161006539
4827,다사509211,,950950.0,1921150.0,70,18,31012620,입북동,,권선구,0.0,0.2592266028467061,0.02463452880772927,0.7896508161006539
4828,다사510211,,951050.0,1921150.0,70,19,31012620,입북동,,권선구,0.0,0.2592266028467061,0.02463452880772927,0.7896508161006539
4829,다사511211,,951150.0,1921150.0,70,20,31012620,입북동,,권선구,0.0,0.2592266028467061,0.02463452880772927,0.7896508161006539
4830,다사512211,,951250.0,1921150.0,70,21,31012620,입북동,,권선구,0.0,0.2592266028467061,0.02463452880772927,0.7896508161006539
4831,다사513211,,951350.0,1921150.0,70,22,31012620,입북동,,권선구,0.0,0.2592266028467061,0.02463452880772927,0.7896508161006539
4832,다사514211,,951450.0,1921150.0,70,23,31012620,입북동,,권선구,0.0,0.2592266028467061,0.02463452880772927,0.7896508161006539
4833,다사515211,,951550.0,1921150.0,70,24,31012620,입북동,,권선구,0.0,0.2592266028467061,0.02463452880772927,0.7896508161006539
4834,다사516211,,951650.0,1921150.0,70,25,31012620,입북동,,권선구,0.0,0.2592266028467061,0.02463452880772927,0.7896508161006539
4835,다사517211,,951750.0,1921150.0,70,26,31012620,입북동,,권선구,0.0,0.2592266028467061,0.02463452880772927,0.7896508161006539
4836,다사518211,,951850.0,1921150.0,70,27,31012620,입북동,,권선구,0.0,0.2592266028467061,0.02463452880772927,0.7896508161006539
