grid_id,gid,lbl,centroid_x,centroid_y,row,col
308,다사576265,,957650.0,1926550.0,16,85
309,다사577265,,957750.0,1926550.0,16,86
310,다사578265,,957850.0,1926550.0,16,87
311,다사579265,,957950.0,1926550.0,16,88
312,다사580265,,958050.0,1926550.0,16,89
313,다사581265,,958150.0,1926550.0,16,90
314,다사582265,,958250.0,1926550.0,16,91
315,다사583265,,958350.0,1926550.0,16,92
316,다사584265,,958450.0,1926550.0,16,93
317,다사585265,,958550.0,1926550.0,16,94
318,다사552264,,955250.0,1926450.0,17,61
319,다사553264,,955350.0,1926450.0,17,62
320,다사554264,,955450.0,1926450.0,17,63
321,다사555264,,955550.0,1926450.0,17,64
322,다사556264,,955650.0,1926450.0,17,65
323,다사557264,,955750.0,1926450.0,17,66
324,다사558264,,955850.0,1926450.0,17,67
325,다사559264,,955950.0,1926450.0,17,68
326,다사560264,,956050.0,1926450.0,17,69
327,다사561264,,956150.0,1926450.0,17,70
328,다사562264,,956250.0,1926450.0,17,71
329,다사563264,,956350.0,1926450.0,17,72
330,다사564264,,956450.0,1926450.0,17,73
331,다사565264,,956550.0,1926450.0,17,74
332,다사566264,,956650.0,1926450.0,17,75
333,다사567264,,956750.0,1926450.0,17,76
334,다사568264,,956850.0,1926450.0,17,77
335,다사569264,,956950.0,1926450.0,17,78
336,다사570264,,957050.0,1926450.0,17,79
337,다사571264,,957150.0,1926450.0,17,80
338,다사572264,,957250.0,1926450.0,17,81
339,다사573264,,957350.0,1926450.0,17,82
340,다사574264,,957450.0,1926450.0,17,83
341,다사575264,,957550.0,1926450.0,17,84
342,다사576264,,957650.0,1926450.0,17,85
343,다사577264,,957750.0,1926450.0,17,86
344,다사578264,,957850.0,1926450.0,17,87
345,다사579264,,957950.0,1926450.0,17,88
346,다사580264,,958050.0,1926450.0,17,89
347,다사581264,,958150.0,1926450.0,17,90
348,다사582264,,958250.0,1926450.0,17,91
349,다사583264,,958350.0,1926450.0,17,92
350,다사584264,,958450.0,1926450.0,17,93
351,다사585264,,958550.0,1926450.0,17,94
352,다사586264,,958650.0,1926450.0,17,95
353,다사551263,,955150.0,1926350.0,18,60
354,다사552263,,955250.0,1926350.0,18,61
355,다사553263,,955350.0,1926350.0,18,62
