SIG_CD,한국이름,X,Y
48220,통영시,128.395246255000,34.900561049000
48240,사천시,128.107620365000,35.013754159000
48250,김해시,128.771762292000,35.255132014000
48270,밀양시,128.796506645000,35.468965586000
48310,거제시,128.625073252000,34.866735846000
48330,양산시,129.041041164000,35.401888209000
48720,의령군,128.277057797000,35.392431015000
48730,함안군,128.430876890000,35.291002806000
48740,창녕군,128.493051648000,35.508227729000
48820,고성군,128.290815365000,35.016564272000
48840,남해군,127.871712411000,34.834874855000
48850,하동군,127.779041959000,35.138180716000
48860,산청군,127.884337642000,35.368597360000
48870,함양군,127.722040779000,35.551601705000
48880,거창군,127.904169273000,35.732552192000
48890,합천군,128.141543426000,35.576577454000
50110,제주시,126.528229894000,33.438050051000
50130,서귀포시,126.557354194000,33.305862849000
51110,춘천시,127.739868166000,37.889796786000
51130,원주시,127.929525057000,37.308222876000
51150,강릉시,128.832378153000,37.709101668000
51170,동해시,129.055626985000,37.506719990000
51190,태백시,128.980072335000,37.172312408000
51210,속초시,128.519481480000,38.176007541000
51230,삼척시,129.121883086000,37.277448677000
51720,홍천군,128.061413054000,37.773366545000
51730,횡성군,128.077067122000,37.509142070000
51750,영월군,128.500295757000,37.204113613000
51760,평창군,128.482589711000,37.556839208000
51770,정선군,128.739062886000,37.378686291000
51780,철원군,127.396933213000,38.238206369000
51790,화천군,127.685165431000,38.138426285000
51800,양구군,128.000095090000,38.175230768000
51810,인제군,128.264726875000,38.064600260000
51820,고성군,128.411680395000,38.361379473000
51830,양양군,128.595094521000,38.004508984000
52111,전주시 완산구,127.120764418000,35.791249368000
52113,전주시 덕진구,127.116031987000,35.869487162000
52130,군산시,126.796892066000,35.965130063000
52140,익산시,126.989509892000,36.023105553000
52180,정읍시,126.905857266000,35.602624659000
52190,남원시,127.428755011000,35.453468536000
52210,김제시,126.896118705000,35.806817970000
52710,완주군,127.222964930000,35.922586151000
52720,진안군,127.430035163000,35.828807453000
52730,무주군,127.712952833000,35.939367356000
52740,장수군,127.544263796000,35.657460976000
52750,임실군,127.236662214000,35.598242385000
52770,순창군,127.090086697000,35.433634301000
52790,고창군,126.616083491000,35.448134367000
52800,부안군,126.655605324000,35.680146074000
41590,화성시,126.972530505750,37.184631145500
41280,고양시,126.810489587667,37.678703653667
41110,수원시,127.014043737500,37.281743405250
41460,용인시,127.148608356333,37.268070301667
41130,성남시,127.124706117667,37.415967146333
41270,안산시,126.827164924500,37.316871025000
41170,안양시,126.933442794000,37.402253161500
41190,부천시,126.784283558667,37.502172906333
47110,포항시,129.330854253000,36.052507907000
52110,전주시,127.118398202500,35.830368265000
44130,천안시,127.187892638500,36.838076325000
43110,청주시,127.470969410750,36.626729328500
48120,창원시,128.619972950400,35.208496492200
